1,2,1,"[4, 1, 2]","[220, 2, 200, 2, 240, 2]"
1,2,1,"[4, 1, 2]","[250, 3, 200, 3, 240, 1]"
1,2,2,"[4, 2, 1]","[220, 1, 210, 1, 230, 2]"
1,2,2,"[1, 4, 2]","[230, 3, 250, 1, 210, 3]"
1,1,1,"[1, 4, 2]","[200, 3, 220, 3, 240, 3]"
1,2,2,"[2, 4, 1]","[240, 3, 220, 1, 230, 3]"
1,1,2,"[1, 2, 4]","[200, 3, 210, 1, 220, 3]"
1,2,2,"[4, 2, 1]","[250, 3, 240, 3, 200, 3]"
2,2,1,"[4, 1, 2]","[250, 2, 230, 1, 240, 3]"
2,2,1,"[2, 4, 1]","[240, 3, 250, 3, 200, 3]"
2,1,2,"[4, 1, 2]","[250, 2, 230, 3, 240, 2]"
2,1,2,"[1, 2, 4]","[230, 2, 210, 1, 220, 3]"
1,1,2,"[1, 4, 2]","[200, 1, 220, 3, 210, 3]"
1,1,1,"[2, 4, 1]","[210, 1, 220, 3, 200, 3]"
1,2,2,"[1, 4, 2]","[200, 3, 220, 2, 240, 1]"
2,2,1,"[1, 2, 4]","[200, 1, 210, 3, 220, 3]"
